,Marca,Modelo,Descuento (%),Precio anterior (ARS),Precio actual (ARS)
0,Samsung,A54 Galaxy 5G 256GB Graphite,-,-,939999
1,Motorola,Moto G14 128GB Steel Gray,-,-,329999
2,Samsung,Galaxy A15 LTE 128GB Blue Black,-,-,379999
3,TCL,408 64GB Gravity Gray,5,233199,219999
4,Samsung,Galaxy A05 LTE 128GB Negro,-,-,299999
5,Motorola,Moto G54 5G 128GB Ambrosia,-,-,449999
6,ZTE,Blade A33 Plus 32GB Space Gray,14,139999,119999
7,ZTE,Blade V50 Design 256GB Black,11,339999,299999
8,Alcatel,1 Ultra 32GB Black,-,-,69999
9,Motorola,Moto G54 5G 128GB Coronet Blue,-,-,449999
10,Motorola,Razr 40 Morado Amatista,-,-,1299999
11,Motorola,E22 4GB 64GB Azul,-,-,249999
12,Samsung,Z Fold 5 256GB Phantom Black,-,-,3459999
13,Xiaomi,Redmi 13C 4GB 128GB Midnight Black,14,344999,299999
14,Xiaomi,Redmi 12C 4GB RAM 128GB ROM Graphite Gray,14,310499,269999
15,Xiaomi,Redmi 10C 4GB RAM 128GB ROM Graphite Gray,14,287499,249999
16,Motorola,Moto G84 5G 256GB Outer Space,-,-,549999
17,Samsung,Galaxy S23 FE 256GB Graphite,-,-,1249999
18,Motorola,Moto G54 5G 128GB Coronet Blue,-,-,449999
19,Motorola,Moto G84 5G 256GB Ballad Blue,-,-,549999
20,Motorola,Moto G54 5G 128GB Ambrosia,-,-,449999
21,TCL,40SE 128GB Dark Gray,5,264999,249999
22,Motorola,Edge 40 Pro 256GB Negro Cuarzo,-,-,1199999
23,ZTE,Blade A53 Plus 64GB Gray,12,159999,139999
24,Motorola,E13 64 GB Azul,-,-,199999
25,Xiaomi,Redmi Note 11 128GB Negro,11,339999,299999
26,Samsung,Galaxy A14 5G 128GB Gris,-,-,434999
27,Motorola,Edge 40 Neo 256GB Soothing Sea,-,-,699999
28,Alcatel,1 Ultra 32GB Black,-,-,69999
29,ZTE,Blade A72s 128GB Sky Blue,22,219999,169999
30,Samsung,A54 Galaxy 5G 256GB Graphite,-,-,939999
